year,category,institute_id,name,city,state,tlr,rpc,go,oi,pr,score,rank,pdf_url,graph_url
2016,Engineering,IR17-ENGG-2-18672,"Indian Institute of Technology (Banaras Hindu University), Varanasi",Varanasi,Uttar Pradesh,61.22,25.36,71.67,59.03,37.11,49.92,31,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-2-18672.pdf,
2016,Engineering,IR17-ENGG-2-1-2811781771,Birla Institute of Technology,Ranchi,Jharkhand,65.59,29.36,64.22,72.08,13.8,49.92,31,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-2-1-2811781771.pdf,
2016,Engineering,IR17-ENGG-1-2811179135,PSG College of Technology,Coimbatore,Tamil Nadu,66.54,23.64,57.05,62.81,47.48,49.49,33,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-1-2811179135.pdf,
2016,Engineering,IR17-ENGG-2-18622,National Institute of Technology Warangal,Warangal,Telangana,66.94,25.44,68.92,65.85,14.01,49.47,34,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-2-18622.pdf,
2016,Engineering,IR17-ENGG-2-1-596,S.R.M Institute of Science and Technology,Chennai,Tamil Nadu,59.75,31.69,57.93,82.94,18.79,49.2,35,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-2-1-596.pdf,
2016,Engineering,IR17-ENGG-2-1-NEW5,"National Institute of Industrial Engineering, Mumbai",Mumbai,Maharashtra,80.8,1.25,71.62,77.94,7.54,47.47,36,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-2-1-NEW5.pdf,
2016,Engineering,IR17-ENGG-2-1-2811366803,Thiagarajar College of Engineering,Madurai,Tamil Nadu,66.01,26.76,57.78,59.0,17.18,47.01,37,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-2-1-2811366803.pdf,
2016,Engineering,IR17-ENGG-1-11736,Pondicherry Engineering College,Puducherry,Pondicherry,66.45,20.44,69.4,61.68,2.54,46.37,38,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-1-11736.pdf,
2016,Engineering,IR17-ENGG-2-12907,Delhi Technological University,New Delhi,Delhi,50.95,24.48,72.9,67.16,22.64,46.19,39,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-2-12907.pdf,
2016,Engineering,IR17-ENGG-2-10949,Zakir Husain College of Engineering & Technology,Aligarh,Uttar Pradesh,71.3,33.57,47.24,48.05,4.57,46.18,40,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-2-10949.pdf,
2016,Engineering,IR17-ENGG-2-1-357,Motilal Nehru National Institute of Technology,Allahabad,Uttar Pradesh,56.0,30.32,66.14,56.74,8.82,45.68,41,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-2-1-357.pdf,
2016,Engineering,IR17-ENGG-1-1-225,"Visvesvaraya National Institute of Technology, Nagpur (Deemed University)",Nagpur,Maharashtra,60.59,21.88,61.04,69.96,15.72,45.52,42,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-1-1-225.pdf,
2016,Engineering,IR17-ENGG-1-1-2816307230,Manipal Institute of Technology,Manipal,Karnataka,70.66,11.94,59.32,63.31,24.06,45.38,43,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-1-1-2816307230.pdf,
